name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
Adventure Time with Finn _ Jake 2010	2010	Puhoy	5	16	13	0	0	4	0	4	4	13	23	41
Adventure Time with Finn _ Jake 2010	2010	Rainy Day Daydream	1	23	6	0	6	0	6	6	6	30	18	42
Adventure Time with Finn _ Jake 2010	2010	Red Starved	5	38	8	0	0	1	1	5	8	5	5	5
Adventure Time with Finn _ Jake 2010	2010	Reign of Gunters	4	24	7	0	0	0	2	2	7	18	7	13
Adventure Time with Finn _ Jake 2010	2010	Return to the Nightosphere	4	5	10	0	0	0	3	3	10	23	3	16
Adventure Time with Finn _ Jake 2010	2010	Ricardio the Heart Guy	1	7	5	5	0	0	5	5	29	41	17	17
Adventure Time with Finn _ Jake 2010	2010	Root Beer Guy	5	43	4	0	0	0	1	1	1	6	6	6
Adventure Time with Finn _ Jake 2010	2010	Shh_	5	20	10	0	0	0	3	3	10	16	10	16
Adventure Time with Finn _ Jake 2010	2010	Simon _ Marcy	5	14	8	0	0	0	8	8	8	24	24	105
Adventure Time with Finn _ Jake 2010	2010	Sky Witch	5	29	10	0	3	0	3	3	10	10	3	16
Adventure Time with Finn _ Jake 2010	2010	Slow Love	2	6	5	0	5	0	5	5	25	25	5	15
Adventure Time with Finn _ Jake 2010	2010	Slumber Party Panic	1	1	10	10	10	10	10	10	32	54	32	76
Adventure Time with Finn _ Jake 2010	2010	Sons of Mars	4	15	10	0	0	0	3	3	10	10	10	24
Adventure Time with Finn _ Jake 2010	2010	Still	3	7	10	0	0	0	3	3	10	10	18	18
Adventure Time with Finn _ Jake 2010	2010	Storytelling	2	5	12	4	4	0	4	4	12	20	12	20
Adventure Time with Finn _ Jake 2010	2010	Susan Strong	2	18	12	0	4	4	4	4	12	20	4	20
Adventure Time with Finn _ Jake 2010	2010	Thank You	3	17	5	0	0	5	5	5	5	17	17	53
Adventure Time with Finn _ Jake 2010	2010	The Chamber of Frozen Blades	2	11	10	0	3	3	3	3	10	24	17	10
Adventure Time with Finn _ Jake 2010	2010	The Creeps	3	12	10	0	0	0	3	3	10	18	18	18
Adventure Time with Finn _ Jake 2010	2010	The Duke	1	19	4	0	4	4	4	14	14	33	4	23
Adventure Time with Finn _ Jake 2010	2010	The Enchiridion_	1	5	7	7	0	0	7	7	21	49	21	35
Adventure Time with Finn _ Jake 2010	2010	The Eyes	2	2	4	0	4	4	4	4	14	24	14	24
